,Name,fpts_fanduel,fpts_draftkings,fpts_yahoo,fpts_fantasydraft
0,Aaron Gordon,33.12,33.77,33.12,32.8
1,Al Horford,31.36,31.8,31.36,31.04
2,Alex Caruso,17.97,18.03,17.97,17.79
3,Alex Len,21.6,21.46,21.6,21.32
4,Andre Drummond,44.46,44.93,44.46,44.59
5,Andrew Wiggins,30.98,31.37,30.98,30.11
6,Anthony Tolliver,12.64,13.54,12.64,12.27
7,Antonio Blakeney,21.45,21.34,21.45,20.83
8,Aron Baynes,15.71,16.01,15.71,15.59
9,Austin Rivers,10.85,11.02,10.85,10.42
10,Bam Adebayo,28.48,28.24,28.48,28.15
11,Bismack Biyombo,12.41,12.17,12.41,12.17
12,Blake Griffin,37.56,39.35,37.56,38.25
13,Bobby Portis,27.68,28.22,27.68,27.43
14,Bogdan Bogdanovic,22.11,22.49,22.11,21.89
15,Brad Wanamaker,10.36,10.41,10.36,9.86
16,Bradley Beal,46,47.13,46,45.68
17,Brandon Knight,17.57,18.02,17.57,17.5
18,Brandon Sampson,13.22,13.52,13.22,12.94
19,Brook Lopez,28.67,28.57,28.67,27.47
20,Bruce Brown,10.15,9.91,10.15,9.67
21,Bryn Forbes,17.71,18.35,17.71,17.53
22,Buddy Hield,36.86,37.73,36.86,36.17
23,Cameron Reynolds,7.07,7.04,7.07,6.88
24,Cedi Osman,26.79,27.08,26.79,26.08
25,Chasson Randle,7.62,7.69,7.62,7.55
26,Cheick Diallo,22.71,22.31,22.71,22.26
27,Chris Paul,38.62,39.35,38.62,38.02
28,Christian Wood,2.75,2.72,2.75,2.67
29,Clint Capela,38.66,38.12,38.66,38.12
30,Collin Sexton,27.14,27.27,27.14,26.86
31,Corey Brewer,7.3,7.29,7.3,7.08
32,Courtney Lee,1.92,1.99,1.92,1.89
33,Cristiano Felicio,14.06,14.3,14.06,14.17
34,D.J. Augustin,24.95,25.96,24.95,24.91
35,D.J. Wilson,16.03,15.43,16.03,15.14
36,Dairis Bertans,6.62,6.77,6.62,6.65
